text,emotion
I am very scared about my future,fear
I feel anxious thinking about results,fear
I am worried I might fail,fear
I feel scared I won't succeed,fear
I constantly fear disappointing my parents,fear
I am afraid of what will happen next,fear

I feel lost in life,confusion
I don't know what to do next,confusion
I am confused about my career path,confusion
I feel directionless and unsure,confusion
I have no clarity about my goals,confusion
Everything feels unclear to me,confusion

I am stressed because of exams,stress
Too much pressure from studies,stress
I feel overwhelmed with workload,stress
I feel mentally exhausted due to pressure,stress
There is too much stress in my life,stress
I can't handle this pressure anymore,stress

I am angry with myself,anger
I feel frustrated about my mistakes,anger
I am irritated and angry,anger
I feel angry for wasting my time,anger
I am annoyed with how things turned out,anger
I am upset and furious with myself,anger

I feel demotivated,sadness
I feel low and depressed,sadness
I feel hopeless,sadness
I feel empty and sad inside,sadness
Nothing excites me anymore,sadness
I feel like giving up,sadness
